Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-07-13 00:04:04,1499974443000,0.00148783,3.58676,9029472,1142100
2017-07-12 00:04:17,1499889544000,0.00127281,2.88236,7252002,1488100
2017-07-11 00:04:12,1499803157000,0.00112181,2.59254,6519061,1721130
2017-07-13 00:04:04,1499974443000,0.00148783,3.58676,9029472,1142100
2017-07-12 00:04:17,1499889544000,0.00127281,2.88236,7252002,1488100
2017-07-11 00:04:12,1499803157000,0.00112181,2.59254,6519061,1721130
2017-07-10 00:04:04,1499716748000,0.001743,4.36748,10975605,371968
2017-07-09 00:04:04,1499630344000,0.00184576,4.71693,11846330,523286
2017-07-08 00:04:03,1499543944000,0.00179286,4.47718,11237499,838844
2017-07-07 00:04:04,1499457543000,0.00209229,5.40328,13553814,502368
2017-07-06 00:04:03,1499371143000,0.0021056,5.47655,13727743,1925980
2017-07-05 00:04:04,1499284743000,0.00210823,5.38522,13490271,568619
2017-07-04 00:04:06,1499198344000,0.00195812,5.09579,12757753,435943
2017-07-03 00:04:04,1499111944000,0.00186932,4.62383,11569385,247541
2017-07-02 00:04:03,1499025543000,0.00181493,4.33715,10845666,389490
2017-07-01 00:04:04,1498939143000,0.00188975,4.59446,11482384,426756
2017-06-30 00:04:04,1498852744000,0.00196865,4.94094,12340537,1020250
2017-06-29 00:04:04,1498766344000,0.00199613,5.11234,12761118,667862
2017-06-28 00:02:19,1498686544000,0.00187486,4.65159,11603530,794134
2017-06-27 00:01:09,1498598551000,0.00190364,4.67754,11661200,1450460
2017-06-26 00:04:14,1498496061000,0.00213298,5.44826,13575023,979145
2017-06-25 00:04:13,1498420756000,0.00218306,5.55005,13820629,486524
2017-06-24 00:04:15,1498334353000,0.00226024,6.10899,15202774,939750
2017-06-23 00:04:15,1498247954000,0.00218754,5.46448,13590296,1228960
2017-06-22 00:04:15,1498161557000,0.00236578,5.90974,14222851,828622
2017-06-21 00:04:16,1498075157000,0.00241297,6.0276,14398718,1191700
2017-06-20 00:04:14,1497988757000,0.00258091,6.44713,15389404,1878830
2017-06-19 00:04:14,1497902355000,0.002521,6.29748,14926929,2272380
2017-06-18 00:04:16,1497815954000,0.00264927,6.61789,15459747,4603180
2017-06-17 00:04:14,1497729566000,0.00267458,6.68112,15530717,7527480
2017-06-16 00:04:15,1497643154000,0.00208108,4.94546,11488506,418960
2017-06-15 00:04:15,1497556754000,0.00208654,5.15181,11960187,488545
2017-06-14 00:04:14,1497470354000,0.00209004,5.73691,13310017,474855
2017-06-13 00:04:14,1497384061000,0.00203862,5.41029,12544413,699297
2017-06-12 00:04:14,1497297554000,0.00218679,6.48351,15022742,583016
2017-06-11 00:04:14,1497211155000,0.0020522,5.88923,13637219,794855
2017-06-10 00:04:13,1497124754000,0.00236105,6.68584,15471152,1055190
2017-06-09 00:04:12,1497038353000,0.00216911,6.08561,14072680,520240
2017-06-08 00:04:14,1496951954000,0.00215195,5.84375,13504651,1490740
2017-06-07 00:04:13,1496863154000,0.0021958,6.26008,14457518,1468010
2017-06-06 00:04:14,1496779152000,0.00190156,5.35412,12356353,4089920
2017-06-05 00:04:12,1496692755000,0.00214829,5.53248,12759359,845476
2017-06-04 00:04:14,1496606352000,0.0019606,4.905,11304341,1304360
