Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-07-13 00:04:05,1499936944000,0.00036036,0.868733,14202159,44740
2017-07-12 00:04:12,1499825660000,0.00033664,0.762341,12462648,42288
2017-07-11 00:04:10,1499766545000,0.00038011,0.878448,14360524,51911
2017-07-10 00:04:05,1499680145000,0.00042,1.0524,17203920,35783
2017-07-09 00:04:06,1499593746000,0.00042531,1.0869,17767648,23820
2017-07-08 00:04:04,1499507344000,0.000384491,0.960162,15695606,49476
2017-07-07 00:04:05,1499420944000,0.000411062,1.06156,17352884,23277
2017-07-06 00:04:05,1499350144000,0.000422918,1.09999,17980753,13431
2017-07-05 00:04:05,1499267344000,0.000420476,1.07406,17556611,43909
2017-07-04 00:04:06,1499180945000,0.000400781,1.04299,17048472,38353
2017-07-03 00:04:03,1499094545000,0.00042995,1.0635,17383440,23015
2017-07-02 00:04:04,1499008143000,0.000419986,1.00364,16404778,70282
2017-07-01 00:04:04,1498921744000,0.000459826,1.11795,18272924,67691
2017-06-30 00:04:04,1498835344000,0.000469974,1.17954,19279286,69498
2017-06-29 00:04:04,1498748944000,0.000474339,1.21484,19855944,38372
2017-06-28 00:02:23,1498672143000,0.000444161,1.10198,18011085,101506
2017-06-27 00:01:18,1498581866000,0.000501233,1.2316,20129294,138789
2017-06-26 00:04:14,1498484962000,0.00053795,1.37409,22457774,59852
2017-06-25 00:04:13,1498403355000,0.00056345,1.43247,23411425,111596
2017-06-24 00:04:15,1498316956000,0.000626772,1.69405,27686016,171253
2017-06-23 00:04:16,1498230556000,0.00062402,1.5588,25474977,39224
2017-06-22 00:04:16,1498144164000,0.000595379,1.48726,24305398,47823
2017-06-21 00:04:16,1498057757000,0.000628387,1.56971,25652449,101259
2017-06-20 00:04:15,1497971372000,0.000654942,1.63605,26735957,83738
2017-06-19 00:04:14,1497884956000,0.000602229,1.50437,24583443,77851
2017-06-18 00:04:16,1497798557000,0.000614905,1.53604,25099963,44171
2017-06-17 00:04:15,1497712154000,0.000662673,1.65536,27048468,73458
2017-06-16 00:04:15,1497625766000,0.000651973,1.54934,25315757,121925
2017-06-15 00:04:16,1497539354000,0.000677743,1.6734,27342486,139058
2017-06-14 00:04:15,1497452956000,0.000699745,1.92072,31383116,239427
2017-06-13 00:04:15,1497366562000,0.000680987,1.80727,29528935,413106
2017-06-12 00:04:15,1497280155000,0.000515287,1.52775,24961494,69752
2017-06-11 00:04:14,1497193755000,0.000514631,1.47684,24129353,155910
2017-06-10 00:04:14,1497107355000,0.000560112,1.58609,25913905,78014
2017-06-09 00:04:13,1497020956000,0.000583544,1.63718,26748168,160391
2017-06-08 00:04:14,1496934554000,0.000621961,1.68897,27593907,120803
2017-06-07 00:04:14,1496845769000,0.000561025,1.59945,26130924,255108
2017-06-06 00:04:14,1496761755000,0.000525044,1.47834,24151918,494769
2017-06-05 00:04:14,1496675354000,0.000455113,1.17205,19147718,233787
2017-06-04 00:04:15,1496588956000,0.000360019,0.90069,14714288,63921
2017-06-03 00:04:12,1496502564000,0.000374964,0.921094,15047411,49765
2017-06-02 00:04:13,1496416156000,0.000347108,0.84102,13739059,20083
2017-06-01 00:04:17,1496329756000,0.000336819,0.792223,12941725,34449
2017-05-31 00:04:16,1496243353000,0.000318674,0.690681,11282783,12501
2017-05-30 00:04:13,1496156956000,0.000331635,0.762644,12458184,26178
2017-05-29 00:04:13,1496070552000,0.000344954,0.747114,12204326,12594
2017-05-28 00:04:11,1495984153000,0.00032002,0.697012,11385742,26830
2017-05-27 00:04:12,1495897754000,0.000337688,0.744383,12159378,34372
2017-05-26 00:04:12,1495811353000,0.000338942,0.811294,13252175,149164
2017-05-25 00:04:13,1495724955000,0.000370808,0.947634,15479012,92590
2017-05-24 00:04:14,1495523955000,0.00038336,0.867046,14162428,18505
2017-05-23 00:04:14,1495438154000,0.000375317,0.791008,12920248,34077
2017-05-22 00:04:14,1495351754000,0.000367337,0.749178,12236845,40536
2017-05-21 00:04:13,1495337052000,0.000367286,0.751414,12273197,14795
2017-05-20 00:04:13,1495166653000,0.000365874,0.718006,11727387,41575
2017-05-19 00:04:15,1495083554000,0.000376208,0.709401,11586708,15032
2017-05-18 00:04:14,1494997154000,0.000374344,0.678344,11079301,14791
2017-05-17 00:04:13,1494910752000,0.000351593,0.611324,9984524,22792
2017-05-16 00:04:13,1494824354000,0.000361846,0.625357,10213591,17522
2017-05-15 00:04:13,1494737953000,0.000387204,0.693445,11325494,34314
2017-05-14 00:04:13,1494651553000,0.000350536,0.62369,10186076,42362
2017-05-13 00:04:14,1494565153000,0.000350347,0.594026,9701475,93532
2017-05-12 00:04:12,1494478754000,0.000302533,0.552774,9027634,19957
2017-05-11 00:04:12,1494392353000,0.000310015,0.545998,8916855,36643
2017-05-10 00:04:15,1494305955000,0.000300232,0.527015,8606702,24556
2017-05-09 00:04:15,1494309553000,0.000333612,0.574931,9389099,48730
2017-05-08 00:04:14,1494226153000,0.000321266,0.512969,8377102,10220
2017-05-07 00:04:14,1494139759000,0.000349953,0.552506,9022627,11460
2017-05-06 00:04:13,1494053354000,0.000353859,0.550409,8988232,14512
2017-05-05 00:04:12,1493966953000,0.000377677,0.580743,9483453,19472
2017-05-04 00:04:16,1493880556000,0.000358805,0.534652,8730662,73828
2017-05-03 00:04:14,1493771653000,0.000338208,0.491355,8023528,95167.6
2017-05-02 00:04:14,1493624955000,0.000294738,0.418999,6841898,49553.3
2017-05-01 00:04:14,1493534054000,0.000313207,0.422168,6893543,16881.1
2017-04-30 00:04:14,1493450955000,0.000304699,0.402748,6576349,15236.9
2017-04-29 00:04:14,1493364557000,0.000313849,0.413176,6746521,42952.6
2017-04-28 00:04:15,1493278168000,0.000298723,0.393637,6427379,16490.9
2017-04-27 00:04:16,1493191754000,0.000318068,0.407471,6653174,38069.1
2017-04-26 00:04:14,1493114353000,0.000333019,0.421432,6881020,30155.9
2017-04-25 00:04:13,1493029154000,0.000281272,0.351632,5741238,43330.9
2017-04-24 00:04:12,1492942754000,0.000329981,0.398357,6504047,40357.4
2017-04-23 00:04:12,1492856353000,0.000322712,0.397488,6489762,83130.7
2017-04-22 00:04:13,1492769955000,0.000303069,0.370365,6046830,126259.0
2017-04-21 00:04:13,1492683555000,0.000360366,0.442919,7231277,95575.9
2017-04-20 00:04:13,1492597154000,0.000374262,0.452966,7395185,396610.0
2017-04-19 00:04:13,1492511353000,0.000498572,0.604105,9862549,53379.2
2017-04-18 00:04:13,1492424953000,0.000474308,0.566281,9244896,62965.3
2017-04-17 00:04:13,1492338551000,0.000505134,0.597543,9755116,69843.7
2017-04-16 00:04:13,1492252152000,0.000498543,0.584551,9542876,125690.0
2017-04-15 00:04:12,1492165752000,0.000464494,0.542316,8853247,39268.9
2017-04-14 00:04:13,1492079353000,0.000440898,0.515533,8415889,18336.2
2017-04-13 00:04:12,1491992952000,0.000445379,0.53462,8727337,21073.1
2017-04-12 00:04:12,1491906552000,0.000412936,0.497591,8122745,8101.54
2017-04-11 00:04:11,1491820753000,0.000423509,0.502761,8207018,14606.2
2017-04-10 00:04:11,1491734352000,0.000413077,0.490682,8009748,19485.5
2017-04-09 00:04:12,1491647952000,0.000420693,0.494713,8075453,47653.9
2017-04-08 00:04:12,1491561553000,0.000446424,0.525397,8576199,143613.0
2017-04-07 00:04:12,1491475152000,0.000385971,0.456481,7451167,17230.7
2017-04-06 00:04:12,1491388752000,0.00039207,0.440993,7198267,45577.4
2017-04-05 00:04:11,1491302351000,0.000386447,0.437941,7148364,23735.0
2017-04-04 00:04:13,1491215953000,0.000392736,0.449216,7332311,33190.3
2017-04-03 00:04:12,1491130152000,0.00041497,0.457368,7465272,90960.5
2017-04-02 00:04:12,1491043753000,0.000412956,0.446199,7282885,27244.4
2017-04-01 00:04:13,1490957352000,0.000420313,0.450487,7352780,44987.0
2017-03-31 00:04:12,1490870952000,0.000465705,0.478013,7801961,44193.5
2017-03-30 00:04:11,1490784556000,0.00045721,0.475484,7760590,73926.0
