Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-06-02 00:04:39,1496287181000,0.000108169,0.25957,35736534,633815
2017-06-01 00:04:40,1496201385000,0.000105387,0.241023,33196582,245403
2017-05-31 00:04:39,1496114979000,0.00011078,0.242623,33418148,325520
2017-05-30 00:04:40,1496028578000,0.000107118,0.244002,33630866,537334
2017-05-29 00:04:38,1495942178000,0.000111643,0.242378,33423506,25920
2017-05-28 00:04:37,1495855781000,0.000117733,0.240896,33217913,444383
2017-05-27 00:04:39,1495769385000,0.000108173,0.241991,35785846,473447
2017-05-26 00:04:39,1495682977000,9.69083e-05,0.221819,32802681,403496
2017-05-25 00:04:37,1495596579000,9.15392e-05,0.222898,32962404,314120
2017-05-24 00:04:41,1495510184000,9.01928e-05,0.203989,30100083,176697
2017-05-23 00:04:43,1495423781000,9.42195e-05,0.198574,29313769,263721
2017-05-22 00:04:45,1495337376000,9.79567e-05,0.199781,29463978,67434
2017-05-21 00:04:40,1495250980000,9.71124e-05,0.198678,29301306,89778
2017-05-20 00:04:41,1495164579000,9.82174e-05,0.192746,28426447,175392
2017-05-19 00:04:43,1495078179000,0.000102758,0.193767,28578828,205043
2017-05-18 00:04:42,1494991779000,9.80885e-05,0.177745,26178436,50645
2017-05-17 00:04:38,1494905380000,9.85188e-05,0.171297,25230722,87632
2017-05-16 00:04:41,1494818979000,9.84778e-05,0.170193,25068111,104788
2017-05-15 00:04:39,1494732577000,9.51992e-05,0.170493,25112299,51450
2017-05-14 00:04:40,1494646184000,9.44725e-05,0.16809,24758355,57258
2017-05-13 00:04:42,1494559784000,9.88298e-05,0.16757,27402880,75476
2017-05-12 00:04:39,1494473382000,9.15317e-05,0.167242,22992737,171833
2017-05-11 00:04:38,1494386982000,8.95166e-05,0.157657,21404641,75319
2017-05-10 00:04:44,1494300583000,8.6626e-05,0.15206,20644753,79477
2017-05-09 00:04:43,1494214179000,8.95317e-05,0.154294,20948951,66455
2017-05-08 00:04:40,1494127779000,9.236e-05,0.147472,20022708,48189
2017-05-07 00:04:41,1494041381000,9.2675e-05,0.146315,19859524,74992
2017-05-06 00:04:41,1493954679000,9.41053e-05,0.146376,19867804,74173
2017-05-05 00:04:40,1493868585000,9.32639e-05,0.143409,19279232,62896
2017-05-04 00:04:48,1493782184000,9.26221e-05,0.138015,18552708,88555
2017-05-03 00:04:41,1493695781000,9.44205e-05,0.137176,18385055,261775
2017-05-02 00:04:42,1493609383000,8.53025e-05,0.121266,16258848,196075
2017-05-01 00:04:41,1493522981000,0.000100132,0.134967,18095822,40603
2017-04-30 00:04:45,1493436582000,0.000101916,0.134712,18055173,58245
2017-04-29 00:04:41,1493350182000,0.000102242,0.1346,18041037,108735
2017-04-28 00:04:43,1493263782000,0.000108114,0.142466,19093137,210538
2017-04-27 00:04:42,1493177379000,0.000113334,0.14519,19497197,245057
2017-04-26 00:04:41,1493090977000,0.000115703,0.146421,19653720,282564
2017-04-25 00:04:38,1493004578000,0.000123758,0.154716,20781753,160515
2017-04-24 00:04:39,1492918182000,0.000122088,0.147386,19519442,239216
2017-04-23 00:04:36,1492831777000,0.000105324,0.129729,16996805,114944
2017-04-22 00:04:39,1492745377000,9.29014e-05,0.11353,14750364,160104
2017-04-21 00:04:38,1492658978000,8.45373e-05,0.103903,13250187,137348
2017-04-20 00:04:38,1492572576000,8.08974e-05,0.0979093,12489955,202430
2017-04-19 00:04:38,1492486175000,6.74491e-05,0.0817261,9875945,67876
2017-04-18 00:04:40,1492399779000,5.9117e-05,0.0705804,6267166,32842
2017-04-17 00:04:37,1492313376000,5.52058e-05,0.0653051,5735015,17814
2017-04-16 00:04:38,1492226975000,5.48453e-05,0.0643072,6186059,34743
