Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-06-02 00:04:45,1496287186000,0.0226487,54.3493,32576970,500510
2017-06-01 00:04:46,1496239184000,0.0247647,56.6373,33948397,400411
2017-05-31 00:04:46,1496155787000,0.0236493,51.7952,31046042,369817
2017-05-30 00:04:45,1496069385000,0.0244299,55.6483,33355591,305944
2017-05-29 00:04:43,1495982983000,0.0251336,54.565,32706261,269329
2017-05-28 00:04:42,1495896584000,0.0237274,48.5489,29100210,447367
2017-05-27 00:04:45,1495810184000,0.0260675,58.3147,34953831,444229
2017-05-26 00:04:45,1495725287000,0.0224483,51.3832,30799090,398025
2017-05-25 00:04:43,1495637394000,0.0241462,58.7961,35242382,558236
2017-05-24 00:04:44,1495550998000,0.0266489,60.272,36127036,472902
2017-05-23 00:04:49,1495464607000,0.0244311,51.4904,30863345,688050
2017-05-22 00:04:50,1495378185000,0.0302665,61.7282,36999883,866772
2017-05-21 00:04:46,1495291787000,0.0279917,57.2671,34325899,673367
2017-05-20 00:04:47,1495205387000,0.0211577,41.5208,24887567,374060
2017-05-19 00:04:49,1495118987000,0.0211156,39.817,23866309,298062
2017-05-18 00:04:47,1495032589000,0.019298,34.9695,20960718,320449
2017-05-17 00:04:44,1494946189000,0.0204445,35.5474,21307111,262038
2017-05-16 00:04:47,1494859784000,0.0215429,37.2312,22316381,234196
2017-05-15 00:04:45,1494773385000,0.0216967,38.8567,23290705,153285
2017-05-14 00:04:46,1494686985000,0.0224566,39.9559,23949566,209927
2017-05-13 00:04:48,1494600584000,0.0236399,40.0823,24025330,212279
2017-05-12 00:04:45,1494514185000,0.0227711,41.6062,24938756,242941
