Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-07-06 00:04:01,1499349241000,0.0189933,49.4006,27626896,259014
2017-07-05 00:04:01,1499218742000,0.0202332,51.6833,28903094,583745
2017-07-04 00:04:02,1499160542000,0.0197408,50.0731,28002176,1000540
2017-07-03 00:04:01,1499075341000,0.0194492,48.4184,27076464,487360
2017-07-02 00:04:06,1498988941000,0.0200721,48.3137,27017552,597871
2017-07-01 00:04:01,1498902541000,0.0228423,56.0041,31317686,1431110
2017-06-30 00:04:01,1498816141000,0.0260301,65.911,36857166,782837
2017-06-29 00:04:01,1498729741000,0.0279601,71.3694,39908943,1803340
2017-06-28 00:05:11,1498649367000,0.0265505,67.66,37834180,1909900
2017-06-27 00:02:37,1498549094000,0.0278341,67.8055,37914976,3421950
2017-06-26 00:04:04,1498470547000,0.0305385,76.9023,43001126,3621640
2017-06-25 00:04:05,1498384144000,0.028705,73.6406,41176743,4433880
2017-06-24 00:04:04,1498297745000,0.0255064,68.621,38369461,902112
2017-06-23 00:04:08,1498211345000,0.024122,60.2569,33692220,485649
2017-06-22 00:04:05,1498124945000,0.0232858,58.1682,32523894,1010450
2017-06-21 00:04:05,1498038544000,0.0225433,56.3134,31486378,2022300
2017-06-20 00:04:05,1497952144000,0.0226281,56.5252,31604366,620741
2017-06-19 00:04:05,1497865747000,0.0209912,52.4361,29317665,377349
2017-06-18 00:04:08,1497779347000,0.0208803,52.1592,29162445,463564
2017-06-17 00:04:04,1497692945000,0.0224496,56.0793,31353762,784795
2017-06-16 00:04:04,1497606544000,0.0238171,57.4893,32141644,700807
2017-06-15 00:04:05,1497520145000,0.0201683,49.5609,27708579,444734
2017-06-14 00:04:06,1497433745000,0.0215952,58.479,32694070,1087910
2017-06-13 00:04:04,1497347345000,0.0192958,50.9672,28494021,681736
2017-06-12 00:04:04,1497260944000,0.0209678,62.3674,34867001,616138
2017-06-11 00:04:04,1497174545000,0.0226412,65.4619,36596498,1343580
2017-06-10 00:04:04,1497088144000,0.0248595,69.8644,39057171,1830610
2017-06-09 00:04:04,1497001744000,0.0238605,66.8406,37366215,5361930
2017-06-08 00:04:04,1496917748000,0.0197683,53.1902,29734747,1272500
2017-06-07 00:04:04,1496828944000,0.0179677,51.5071,28793448,1547570
2017-06-06 00:04:04,1496742544000,0.0194265,52.3503,29264400,1416770
2017-06-05 00:04:07,1496656146000,0.0215434,54.2204,30309379,1105120
2017-06-04 00:04:03,1496569745000,0.0221898,56.2308,31432754,5290610
2017-06-03 00:04:41,1496483346000,0.0229947,56.9094,31811597,8971210
2017-06-02 00:04:03,1496287144000,0.023071,55.3627,30946614,11949300
2017-06-01 00:04:06,1496237053000,0.0288921,66.0766,36934932,46228800
