Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-07-06 00:04:00,1499349240000,0.000978189,2.54422,61530591,1218520
2017-07-05 00:04:00,1499218741000,0.00103204,2.63624,63753621,2565840
2017-07-04 00:04:01,1499160541000,0.0009736,2.46957,59719959,1982560
2017-07-03 00:04:00,1499075340000,0.000940647,2.34172,56624388,1620230
2017-07-02 00:04:05,1498988940000,0.000946565,2.27839,55090644,1019830
2017-07-01 00:04:00,1498902540000,0.000968515,2.37458,57414196,979158
2017-06-30 00:04:00,1498816140000,0.00100993,2.55724,61828829,1999840
2017-06-29 00:04:00,1498729740000,0.00104668,2.6717,64592529,2959530
2017-06-28 00:04:17,1498649347000,0.000989615,2.52188,60966839,4012970
2017-06-27 00:02:39,1498549086000,0.00101327,2.46838,59670099,6466690
2017-06-26 00:04:01,1498470558000,0.0011637,2.93044,70834618,4484220
2017-06-25 00:04:00,1498384140000,0.00116747,2.99506,72388477,6204560
2017-06-24 00:04:01,1498297740000,0.00125419,3.37421,81541400,15518500
2017-06-23 00:04:00,1498211361000,0.00110189,2.75252,66508570,8333170
2017-06-22 00:04:00,1498124941000,0.000930075,2.32333,56134085,4302810
2017-06-21 00:04:01,1498038542000,0.00103999,2.59789,62763099,5069400
2017-06-20 00:04:01,1497952141000,0.000931351,2.32652,56203586,3817010
2017-06-19 00:04:00,1497865740000,0.000913094,2.28091,55096362,8898190
2017-06-18 00:04:00,1497779340000,0.000923159,2.30606,55698702,4018780
2017-06-17 00:04:01,1497692941000,0.00080434,2.00925,48524144,2099530
2017-06-16 00:04:09,1497606540000,0.000771759,1.86286,44986040,2030400
2017-06-15 00:04:00,1497520141000,0.000790712,1.94307,46920526,1975050
2017-06-14 00:04:00,1497433740000,0.000756853,2.04953,49488062,1612800
2017-06-13 00:04:00,1497347341000,0.000745805,1.96994,47562783,3070210
2017-06-12 00:04:00,1497260940000,0.000754086,2.24298,54146932,2039670
2017-06-11 00:04:00,1497174541000,0.000742965,2.14811,51853478,2743300
2017-06-10 00:04:00,1497088140000,0.000776254,2.18156,52658268,2430060
2017-06-09 00:04:00,1497001747000,0.000745194,2.08751,50380469,1907850
2017-06-08 00:04:00,1496917743000,0.000750223,2.01861,48715681,2688140
2017-06-07 00:04:00,1496828940000,0.000712351,2.04206,49278726,3261080
2017-06-06 00:04:01,1496742541000,0.0008127,2.19006,52847098,6106920
2017-06-05 00:04:01,1496656140000,0.000865414,2.17808,52552990,8221780
2017-06-04 00:04:00,1496569740000,0.000676939,1.71542,41387678,1194760
2017-06-03 00:04:00,1496483341000,0.000684708,1.69458,40883073,1325720
2017-06-02 00:04:00,1496287140000,0.000665774,1.59763,38537336,1414230
2017-06-01 00:04:00,1496232546000,0.000650293,1.48723,35869984,888890
2017-05-31 00:04:00,1496149746000,0.000667348,1.46158,35249012,1208170
2017-05-30 00:04:22,1496063341000,0.000677681,1.54367,37227390,1332370
2017-05-29 00:04:01,1495976940000,0.000645258,1.40086,33781645,1695920
2017-05-28 00:04:00,1495890540000,0.000636924,1.30322,31425358,2448550
2017-05-27 00:04:00,1495804140000,0.000671372,1.5019,36214623,2654720
2017-05-26 00:04:00,1495717741000,0.000741515,1.6973,40923547,3379790
2017-05-25 00:04:00,1495631354000,0.000886596,2.15886,52049208,3312320
2017-05-24 00:04:00,1495544954000,0.000961007,2.17351,52397777,2330990
2017-05-23 00:04:00,1495458555000,0.000903226,1.90361,45889597,2634510
2017-05-22 00:04:01,1495372147000,0.000973168,1.98476,47843433,1932720
2017-05-21 00:04:00,1495285740000,0.000989602,2.02459,48799497,1161190
2017-05-20 00:04:01,1495199341000,0.001036,2.0331,48999453,1951290
2017-05-19 00:04:00,1495112956000,0.00113022,2.13122,51357607,3346800
2017-05-18 00:04:01,1495026540000,0.000946497,1.71513,41324054,1232470
2017-05-17 00:04:00,1494940140000,0.000911514,1.58487,38183514,2695670
2017-05-16 00:04:00,1494853741000,0.00101094,1.74715,42092266,1097360
2017-05-15 00:04:00,1494767340000,0.0010783,1.93112,46522173,1136180
2017-05-14 00:04:01,1494680940000,0.00107999,1.92156,46288343,1812780
2017-05-13 00:04:00,1494594546000,0.0011031,1.87034,45051842,1311560
2017-05-12 00:04:00,1494508140000,0.00111634,2.03971,49127108,1762760
2017-05-11 00:04:00,1494421740000,0.00129023,2.27236,54726803,3380900
2017-05-10 00:04:00,1494335349000,0.00135026,2.37019,57078601,4138800
2017-05-09 00:04:00,1494248942000,0.00140249,2.41697,58201786,2973410
2017-05-08 00:04:00,1494162541000,0.00155851,2.48849,59911988,7311080
2017-05-07 00:04:00,1494076141000,0.00131073,2.06938,49807331,2836100
2017-05-06 00:04:00,1493989740000,0.00128305,1.99572,48031800,5216250
2017-05-05 00:04:00,1493903340000,0.00125437,1.92881,46419717,8470600
2017-05-04 00:04:01,1493816940000,0.000958137,1.42771,34359437,2523580
2017-05-03 00:04:00,1493730540000,0.000860312,1.24988,30079146,751023
2017-05-02 00:04:00,1493644141000,0.000864716,1.22928,29582449,1282150
2017-05-01 00:04:01,1493557740000,0.000912514,1.22997,29595461,727352
2017-04-30 00:04:00,1493471340000,0.000938151,1.24004,29833020,644761
2017-04-29 00:04:01,1493384940000,0.000907145,1.19424,28726240,552274
2017-04-28 00:04:01,1493298568000,0.000878244,1.15729,27832142,1042140
2017-04-27 00:04:00,1493212140000,0.000923078,1.18254,28431101,3374000
