Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-07-06 00:04:10,1499349249000,0.00229719,5.97487,588237491,5117750
2017-07-05 00:04:11,1499218751000,0.00241542,6.16991,607431590,6251130
2017-07-04 00:04:15,1499155457000,0.0023537,5.97024,587764965,5282530
2017-07-03 00:04:10,1499072350000,0.00233897,5.82283,573245038,5492940
2017-07-02 00:04:13,1498985950000,0.00232355,5.59281,550592834,4758550
2017-07-01 00:04:08,1498899548000,0.00256457,6.28775,618999192,4963430
2017-06-30 00:04:09,1498813149000,0.00259965,6.58261,648016163,6386110
2017-06-29 00:04:08,1498726748000,0.00272914,6.96623,685773022,6744210
2017-06-28 00:05:28,1498647094000,0.00263418,6.7128,660817425,8322610
2017-06-27 00:00:20,1498545908000,0.00271625,6.61694,651371595,10275700
2017-06-26 00:04:42,1498467580000,0.0028184,7.09732,698651822,5642450
2017-06-25 00:04:39,1498381176000,0.00298927,7.66877,754894748,9240970
2017-06-24 00:04:41,1498294776000,0.00312775,8.41473,828314384,9093750
2017-06-23 00:04:42,1498208379000,0.00285679,7.13627,702458368,6053450
2017-06-22 00:04:38,1498121982000,0.00279689,6.98664,687720513,13551200
2017-06-21 00:04:39,1498035578000,0.00282925,7.06747,695667873,13729100
2017-06-20 00:04:40,1497949181000,0.00308872,7.71565,759459811,14212800
2017-06-19 00:04:40,1497862779000,0.00298418,7.4545,733744969,7640600
2017-06-18 00:04:37,1497776379000,0.00310452,7.75511,763323979,8037080
2017-06-17 00:04:39,1497689976000,0.00319064,7.97023,784487632,10030600
2017-06-16 00:04:38,1497603578000,0.00330163,7.96941,784396601,11357900
2017-06-15 00:04:40,1497517178000,0.00329343,8.09317,796567346,18750600
2017-06-14 00:04:40,1497430775000,0.00346287,9.37732,922947279,24440900
2017-06-13 00:04:38,1497344378000,0.00279983,7.39537,727867559,19896700
2017-06-12 00:04:33,1497257977000,0.00290599,8.6437,850719673,40263200
2017-06-11 00:04:39,1497171575000,0.00242017,6.99737,688677561,37657800
2017-06-10 00:04:35,1497085176000,0.00305887,8.59656,846057895,25856800
2017-06-09 00:04:38,1496998777000,0.00332964,9.32732,917966025,17277800
2017-06-08 00:04:38,1496914780000,0.00351888,9.46816,931814934,22952800
2017-06-07 00:04:35,1496825975000,0.00364631,10.4527,1028695575,24939000
2017-06-06 00:04:36,1496739576000,0.00388921,10.4806,1031427794,29716500
