Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-03-01 11:49:32,1488284372000,1.11784e-05,0.0132875,2688578,3866.31
2017-03-01 11:44:31,1488284673000,1.11824e-05,0.0132879,2688659,3866.44
2017-03-01 11:39:32,1488284972000,1.11832e-05,0.0132836,2687789,3865.17
2017-03-01 11:34:33,1488285270000,1.11898e-05,0.0132783,2686716,3863.65
2017-03-01 11:29:30,1488285571000,1.11819e-05,0.0132653,2684086,3859.84
2017-03-01 11:24:33,1488285873000,1.11836e-05,0.0132615,2683317,3858.73
2017-03-01 11:19:32,1488286170000,1.11832e-05,0.0132558,2682164,3857.07
2017-03-01 11:14:31,1488286472000,1.118e-05,0.0132505,2681091,3855.55
2017-03-01 11:09:31,1488286772000,1.11763e-05,0.013249,2680787,3855.12
2017-03-01 11:04:30,1488287071000,1.11773e-05,0.013252,2681394,3855.97
2017-03-01 10:59:30,1488287373000,1.11783e-05,0.0132536,2681718,3856.46
2017-03-01 10:54:32,1488287671000,1.11766e-05,0.0132542,2681840,3856.62
2017-03-01 10:49:32,1488287971000,1.11784e-05,0.0132568,2682366,3857.37
2017-03-01 10:44:30,1488288271000,1.11791e-05,0.0132572,2682447,3857.5
2017-03-01 10:39:32,1488288576000,1.11793e-05,0.0132568,2682366,3857.37
2017-03-01 10:34:32,1488288871000,1.11821e-05,0.0132561,2682224,3857.17
2017-03-01 10:29:30,1488289170000,1.11819e-05,0.0132521,2681414,3856.0
2017-03-01 10:24:34,1488289472000,1.11806e-05,0.0132484,2680666,3854.93
2017-03-01 10:19:35,1488289772000,1.11786e-05,0.0132461,2680200,3854.28
2017-03-01 10:14:31,1488290073000,1.11811e-05,0.0132463,2680240,3854.31
2017-03-01 10:09:31,1488290373000,1.11834e-05,0.0132435,2679674,3853.5
2017-03-01 10:04:30,1488290672000,1.11791e-05,0.013238,2678561,3851.9
2017-03-01 09:59:30,1488290973000,1.11803e-05,0.0132375,2678460,3851.77
2017-03-01 09:54:31,1488291272000,1.11777e-05,0.0132357,2678096,3851.25
2017-03-01 09:49:32,1488291576000,1.11798e-05,0.013237,2678359,3851.61
2017-03-01 09:44:30,1488291879000,1.11782e-05,0.0132357,2678096,3851.25
2017-03-01 09:39:31,1488292172000,1.11811e-05,0.0132364,2678237,3851.45
2017-03-01 09:34:29,1488292472000,1.11824e-05,0.0132336,2677669,3850.63
2017-03-01 09:29:33,1488292773000,1.11846e-05,0.0132293,2676799,3849.37
2017-03-01 09:24:31,1488293073000,1.11766e-05,0.0132223,2675383,3847.35
2017-03-01 09:19:31,1488293373000,1.11729e-05,0.0132249,2675909,3848.1
2017-03-01 09:14:29,1488293673000,1.11792e-05,0.0132318,2677305,3850.11
2017-03-01 09:09:31,1488293971000,1.11777e-05,0.0132313,2677204,3849.95
2017-03-01 09:04:31,1488294272000,1.11774e-05,0.0132325,2677447,3850.31
2017-03-01 08:59:32,1488294574000,1.118e-05,0.0132341,2677770,3915.4
2017-03-01 08:54:31,1488294873000,1.11783e-05,0.0132328,2677507,4408.47
2017-03-01 08:49:31,1488295173000,1.11808e-05,0.0132335,2677648,4408.69
2017-03-01 08:44:30,1488295472000,1.11851e-05,0.0132312,2677183,4407.95
2017-03-01 08:39:31,1488295772000,1.1184e-05,0.013223,2675524,4411.17
2017-03-01 08:34:32,1488296073000,1.11641e-05,0.0131924,2669332,4289.9
2017-03-01 08:29:31,1488296372000,1.123e-05,0.0132676,2684548,3959.58
2017-03-01 08:24:31,1488296675000,1.12256e-05,0.0132654,2684103,4471.56
2017-03-01 08:19:31,1488296973000,1.12326e-05,0.0132684,2684710,4768.52
2017-03-01 08:14:30,1488297272000,1.12343e-05,0.0132631,2683637,4766.63
2017-03-01 08:09:31,1488297571000,1.12259e-05,0.0132558,2682160,4764.0
2017-03-01 08:04:31,1488297873000,1.12268e-05,0.0132585,2682706,4764.97
2017-03-01 07:59:31,1488298175000,1.12212e-05,0.0132601,2683030,4765.54
2017-03-01 07:54:31,1488298476000,1.12298e-05,0.0132682,2684669,4769.14
2017-03-01 07:49:32,1488298780000,1.12264e-05,0.0132662,2684264,4768.41
2017-03-01 07:44:30,1488299071000,1.39881e-05,0.0165268,3344009,3501.54
2017-03-01 07:39:32,1488299376000,1.39864e-05,0.016524,3343443,3500.95
2017-03-01 07:34:33,1488299674000,1.39842e-05,0.0165233,3343301,3500.8
2017-03-01 07:29:30,1488299974000,1.39833e-05,0.0165252,3343685,3501.19
2017-03-01 07:24:31,1488300274000,1.39885e-05,0.0165281,3344272,3501.81
2017-03-01 07:19:29,1488300572000,1.39846e-05,0.0165249,3343625,3501.13
2017-03-01 07:14:29,1488300873000,1.39909e-05,0.0165263,3343908,3501.42
2017-03-01 07:09:30,1488301173000,1.39872e-05,0.0165203,3342694,3500.15
2017-03-01 07:04:31,1488301473000,1.39882e-05,0.0165186,3342350,3499.79
2017-03-01 06:59:30,1488301772000,1.39867e-05,0.0165156,3341743,3499.17
2017-03-01 06:54:31,1488302078000,1.39829e-05,0.0165145,3341519,3498.93
2017-03-01 06:49:32,1488302374000,1.39917e-05,0.0165179,3342207,3499.64
2017-03-01 06:44:30,1488302674000,1.39885e-05,0.0165109,3340791,3498.16
2017-03-01 06:39:31,1488302972000,1.39932e-05,0.0165077,3340144,3497.48
2017-03-01 06:34:32,1488303272000,1.39841e-05,0.0164989,3338362,3495.61
2017-03-01 06:29:31,1488303572000,1.39784e-05,0.0165008,3338747,3496.03
2017-03-01 06:24:29,1488303874000,1.39648e-05,0.0165095,3340507,3497.87
