Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-06-02 17:34:46,1496340290000,0.0230995,55.4547,33239547,330936
2017-06-02 17:29:47,1496340587000,0.0230744,55.5222,33280006,330594
2017-06-02 17:24:44,1496340887000,0.0231348,55.7052,33389696,332428
2017-06-02 17:19:44,1496341185000,0.0231226,55.7763,33432314,333405
2017-06-02 17:14:45,1496341485000,0.0230763,55.7296,33404322,333456
2017-06-02 17:09:48,1496341787000,0.0230854,55.7919,33441664,333533
2017-06-02 17:04:44,1496342086000,0.0231312,55.9363,33528218,335401
2017-06-02 16:59:46,1496342386000,0.0230212,55.7024,33388018,346897
2017-06-02 16:54:45,1496342684000,0.0231712,56.0625,33603862,348466
2017-06-02 16:49:44,1496342990000,0.0233292,56.3575,33780685,353067
2017-06-02 16:44:44,1496343283000,0.0230499,55.5691,33308118,352081
2017-06-02 16:39:45,1496343584000,0.0232519,56.0077,33571015,353122
2017-06-02 16:34:45,1496343886000,0.0230415,55.5295,33284382,350013
2017-06-02 16:29:44,1496344183000,0.0230723,55.5783,33313633,350348
2017-06-02 16:24:48,1496344486000,0.0235666,56.7478,34014631,358000
2017-06-02 16:19:47,1496344789000,0.022878,55.0397,32990796,348152
2017-06-02 16:14:47,1496345087000,0.0235976,56.8263,34061684,359314
2017-06-02 16:09:45,1496345386000,0.0233838,56.3334,33766239,356111
2017-06-02 16:04:45,1496345687000,0.0228242,54.9934,32963043,348340
2017-06-02 15:59:46,1496345986000,0.0223924,53.9251,32322704,338679
2017-06-02 15:54:58,1496346285000,0.0223858,53.8633,32285662,342184
2017-06-02 15:49:47,1496346587000,0.0223215,53.6565,32161706,344812
2017-06-02 15:44:47,1496346891000,0.0224409,53.9599,32343564,346268
2017-06-02 15:39:45,1496347186000,0.0224899,54.054,32399967,347183
2017-06-02 15:34:45,1496347485000,0.0226094,54.2722,32530756,350405
2017-06-02 15:29:45,1496347786000,0.0226081,54.2963,32545202,355009
2017-06-02 15:24:50,1496348087000,0.0226109,54.2428,32513134,357506
2017-06-02 15:19:50,1496348386000,0.0228603,54.8077,32851735,361621
2017-06-02 15:14:51,1496348685000,0.0224008,53.6992,32187300,354209
2017-06-02 15:09:49,1496348985000,0.0231691,55.4677,33247339,369138
2017-06-02 15:04:46,1496349284000,0.0231894,55.4696,33248478,369743
2017-06-02 14:59:46,1496349585000,0.0231843,55.4416,33231695,378613
2017-06-02 14:54:45,1496349886000,0.0227083,54.2952,32544542,360820
2017-06-02 14:49:46,1496350185000,0.0225625,54.151,32458109,371090
2017-06-02 14:44:46,1496350490000,0.022565,53.981,32356211,373922
2017-06-02 14:39:47,1496350786000,0.0224737,53.7061,32191436,372314
2017-06-02 14:34:45,1496351086000,0.0221691,52.9152,31717370,368249
2017-06-02 14:29:46,1496351386000,0.0221721,52.9905,31762505,368342
2017-06-02 14:24:45,1496351686000,0.0221703,52.8228,31661986,367765
2017-06-02 14:19:45,1496351987000,0.0222201,52.8696,31690038,366578
2017-06-02 14:14:45,1496352284000,0.0221531,52.8898,31702146,367951
2017-06-02 14:09:46,1496352584000,0.0221555,52.9372,31730557,368253
2017-06-02 14:04:47,1496352884000,0.0221628,52.8229,31662046,367402
2017-06-02 13:59:46,1496353185000,0.0221718,53.044,31794573,368902
2017-06-02 13:54:44,1496353485000,0.0221157,53.0899,31822086,368477
2017-06-02 13:49:45,1496353785000,0.0222211,53.4552,32041046,370675
2017-06-02 13:44:45,1496354086000,0.0223154,53.6432,32153734,369244
2017-06-02 13:39:44,1496354384000,0.022324,53.6093,32133414,367310
2017-06-02 13:34:46,1496354687000,0.0224298,53.7859,32239268,366822
2017-06-02 13:29:47,1496354984000,0.0225102,53.9214,32320487,367587
2017-06-02 13:24:50,1496355283000,0.0225354,54.0043,32370177,367930
2017-06-02 13:19:43,1496355584000,0.0224521,53.7476,32216311,366588
2017-06-02 13:14:44,1496355891000,0.0225004,54.2049,32490417,368336
