Date,Timestamp,PriceBTC,PriceUSD,MarketCap,Volume
2017-12-06 19:34:36,1512503679000,0.000711247,9.25135,944031361,62541400
2017-12-06 19:29:40,1512503980000,0.000713441,9.24228,943105835,62374100
2017-12-06 19:24:43,1512504280000,0.000713485,9.26974,945907923,62631100
2017-12-06 19:19:38,1512504576000,0.000714875,9.29572,948558989,62825100
2017-12-06 19:14:40,1512504878000,0.000720004,9.29607,948594704,62944100
2017-12-06 19:09:42,1512505178000,0.000721271,9.30582,949589619,63015100
2017-12-06 19:04:40,1512505479000,0.000724542,9.31336,950359019,63413500
2017-12-06 18:59:41,1512505777000,0.000728071,9.31594,950622289,63617700
2017-12-06 18:54:37,1512506081000,0.000729171,9.32319,951362098,63620900
2017-12-06 18:49:40,1512506379000,0.000733049,9.36023,955141754,64135000
2017-12-06 18:44:36,1512506678000,0.000733027,9.33828,952901920,64026600
2017-12-06 18:39:37,1512506976000,0.000734795,9.36808,955942788,64187200
2017-12-06 18:34:37,1512507275000,0.000732134,9.35194,954295821,64236600
2017-12-06 18:29:37,1512507583000,0.000733982,9.36594,955724417,64215300
2017-12-06 18:24:40,1512507882000,0.000736601,9.38024,957183625,64312100
2017-12-06 18:19:41,1512508176000,0.000737413,9.38122,957283627,64861900
2017-12-06 18:14:41,1512508481000,0.000740557,9.42823,962080647,65073600
2017-12-06 18:09:38,1512508782000,0.000739793,9.40857,960074491,64946000
2017-12-06 18:04:36,1512509079000,0.000739049,9.37669,956821374,64963800
2017-12-06 17:59:39,1512509381000,0.000737302,9.38513,957682613,66245400
2017-12-06 17:54:37,1512509680000,0.000737378,9.39223,958407115,66249600
2017-12-06 17:49:35,1512509981000,0.000741929,9.43108,962371469,66209100
2017-12-06 17:44:38,1512510278000,0.000739907,9.40045,959245905,66236900
2017-12-06 17:39:36,1512510582000,0.000739312,9.41077,960298984,66375500
2017-12-06 17:34:35,1512510879000,0.000739502,9.40718,959932652,66295100
2017-12-06 17:29:43,1512511177000,0.000736296,9.36096,955216245,65942200
2017-12-06 17:24:37,1512511480000,0.000734942,9.32669,951719247,66031000
2017-12-06 17:19:37,1512511777000,0.000733491,9.30578,949585537,66038100
2017-12-06 17:14:43,1512512078000,0.000733993,9.3182,950852905,66288400
